"","author","title","journal","date"
"51","Anthony Wutoh","Application of regression-discontinuity analysis in pharmaceutical health services research.","Health services research","2006 Apr"
"52","Anthony Wutoh","Transitioning from learning healthcare systems to learning health care communities.","Journal of comparative effectiveness research","2018 Jun"
"53","Ashley Slagle","Policy implications of drug importation.","Clinical therapeutics","2007 Dec"
"54","Ashley Slagle","Clinician-Reported Outcome Assessments of Treatment Benefit: Report of the ISPOR Clinical Outcome Assessment Emerging Good Practices Task Force.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2017 Jan"
"55","Bansri Desai","Clinical value of tapentadol extended-release in painful diabetic peripheral neuropathy.","Expert review of clinical pharmacology","2014 Mar"
"56","Bansri Desai","Reporting of Drug Benefit in FDA-Approved Prescription Drug Labeling.","Journal of general internal medicine","2020 Jan"
"57","Bansri Desai","Peer Review and Transparency in Evidence-Source Selection in Value and Health Technology Assessment.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2020 Jun"
"58","Becky Briesacher","Drug coverage for Medicare beneficiaries: why protection may be in jeopardy.","Issue brief (Commonwealth Fund)","2002 Jan"
"59","Becky Briesacher","Medication decisions--right and wrong.","Medical care research and review : MCRR","2002 Jun"
"60","Becky Briesacher","Propoxyphene use by community-dwelling and institutionalized elderly Medicare beneficiaries.","Journal of the American Geriatrics Society","2003 Aug"
"61","Becky Briesacher","Trends in the prescription of inappropriate drugs for the elderly between 1995 and 1999.","The American journal of geriatric pharmacotherapy","2003 Dec"
"62","Becky Briesacher","Employer-sponsored health insurance and prescription drug coverage for new retirees: dramatic declines in five years.","Health affairs (Project Hope)","2003 Jul-Dec"
"63","Becky Briesacher","Racial and ethnic disparities in prescription coverage and medication use.","Health care financing review","2003 Winter"
"64","Becky Briesacher","How do incentive-based formularies influence drug selection and spending for hypertension?","Health affairs (Project Hope)","2004 Jan-Feb"
"65","Becky Briesacher","Impact of prescription coverage on hospital and physician costs: a case study of medicare beneficiaries with chronic obstructive pulmonary disease.","Clinical therapeutics","2004 Oct"
"66","Becky Briesacher","Riding the rollercoaster: the ups and downs in out-of-pocket spending under the standard Medicare drug benefit.","Health affairs (Project Hope)","2005 Jul-Aug"
"67","Becky Briesacher","National estimates of exposure to prescription drugs with addiction potential in community-dwelling elders.","Substance abuse","2005 Mar"
"68","Becky Briesacher","Patient Outcomes After Delirium Screening and Incident Alzheimer's Disease or Related Dementias in Skilled Nursing Facilities.","Journal of general internal medicine","2023 Feb"
"69","Becky Briesacher","Unintended impacts of a national antipsychotic reduction initiative among nursing facility residents with and without Alzheimer's disease.","Journal of the American Geriatrics Society","2023 Jun"
"70","Becky Briesacher","Examining transitions of care among nursing home residents with and without antipsychotic medication use.","Aging & mental health","2023 Sep-Oct"
"71","Becky Briesacher","Nursing Home Characteristics Associated with Antipsychotic Prescribing After Implementation of the National Antipsychotic Reduction Initiative (ARI).","Clinical gerontologist","2024 Oct-Dec"
"72","Betina Blak","Comparing cost-effectiveness analyses of anti-hypertensive drug therapy for decision making: mission impossible?","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2002 Jul-Aug"
"73","Bilal Khokhar","Patterns of Depression Treatment in Medicare Beneficiaries with Depression after Traumatic Brain Injury.","Journal of neurotrauma","2015 Aug 15"
"74","Bilal Khokhar","Older Adult Self-Efficacy Study of Mobile Phone Diabetes Management.","Diabetes technology & therapeutics","2015 Jul"
"75","Bilal Khokhar","A Systematic Review of the Benefits and Risks of Anticoagulation Following Traumatic Brain Injury.","The Journal of head trauma rehabilitation","2015 Jul-Aug"
"76","Bilal Khokhar","Depression among older adults after traumatic brain injury: a national analysis.","The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry","2015 Jun"
"77","Bilal Khokhar","Perceptions of patient provider agreements.","Journal of pharmaceutical health services research : an official journal of the Royal Pharmaceutical Society of Great Britain","2015 Sep"
"78","Bilal Khokhar","New episodes of depression among Medicare beneficiaries with chronic obstructive pulmonary disease.","International journal of geriatric psychiatry","2016 May"
"79","Bilal Khokhar","Adherence to Maintenance Medications among Older Adults with Chronic Obstructive Pulmonary Disease. The Role of Depression.","Annals of the American Thoracic Society","2016 Sep"
"80","Bilal Khokhar","Patterns of Statin Use in Older Medicare Beneficiaries With Traumatic Brain Injury.","The Journal of pharmacy technology : jPT : official publication of the Association of Pharmacy Technicians","2017"
"81","Bilal Khokhar","Adherence and healthcare utilization among older adults with COPD and depression.","Respiratory medicine","2017 Aug"
"82","Bilal Khokhar","In-Hospital Mortality Following Traumatic Brain Injury Among Older Medicare Beneficiaries, Comparing Statin Users With Nonusers.","The Journal of pharmacy technology : jPT : official publication of the Association of Pharmacy Technicians","2017 Dec"
"83","Bilal Khokhar","Risk of Stroke Among Older Medicare Antidepressant Users With Traumatic Brain Injury.","The Journal of head trauma rehabilitation","2017 Jan/Feb"
"84","Bilal Khokhar","Assessing Physician and Patient Perceptions of Generic Drugs via Facebook: A Feasibility Study.","The Journal of pharmacy technology : jPT : official publication of the Association of Pharmacy Technicians","2018 Apr"
"85","Bilal Khokhar","The association of antidepressant treatment with COPD maintenance medication use and adherence in a comorbid Medicare population: A longitudinal cohort study.","International journal of geriatric psychiatry","2018 Feb"
"86","Bilal Khokhar","Mortality and Associated Morbidities Following Traumatic Brain Injury in Older Medicare Statin Users.","The Journal of head trauma rehabilitation","2018 Nov/Dec"
"87","Bilal Khokhar","Respiratory events associated with concomitant opioid and sedative use among Medicare beneficiaries with chronic obstructive pulmonary disease.","BMJ open respiratory research","2020 Mar"
"88","Bilal Khokhar","Real World Cost-of-Illness Evidence in Hepatitis C Virus: A systematic review.","PharmacoEconomics","2020 Sep"
"89","Brian Ung","The Affordable Care Act, health care reform, prescription drug formularies and utilization management tools.","Research in social & administrative pharmacy : RSAP","2015 May-Jun"
"90","Brian Ung","Performance-Based Risk-Sharing Arrangements: U.S. Payer Experience.","Journal of managed care & specialty pharmacy","2017 Oct"
"91","Calvin Knowlton","Initial Selection of Antiemetics in End-of-Life Care: A Retrospecitve Analysis.","International journal of pharmaceutical compounding","2006 Mar-Apr"
"92","Candice Yong","Concordance between administrative claims and registry data for identifying metastasis to the bone: an exploratory analysis in prostate cancer.","BMC medical research methodology","2014 Jan 2"
"93","Candice Yong","The use of health services among elderly patients with stage IV prostate cancer in the initial period following diagnosis.","Journal of geriatric oncology","2014 Jul"
"94","Candice Yong","Skeletal-related events and mortality among older men with advanced prostate cancer.","Journal of geriatric oncology","2014 Jul"
"95","Candice Yong","Clinical and economic burden of bone metastasis and skeletal-related events in prostate cancer.","Current opinion in oncology","2014 May"
"96","Candice Yong","Skeletal-related events and mortality among men diagnosed with advanced prostate cancer: The impact of alternative measures of radiation to the bone.","PloS one","2017"
"97","Candice Yong","Specialist visits and initiation of cancer-directed treatment among a large cohort of men diagnosed with prostate cancer.","Urologic oncology","2017 Apr"
"98","Candice Yong","Prevalence and risk of skeletal complications and use of radiation therapy in elderly women diagnosed with metastatic breast cancer.","PloS one","2018"
"99","Candice Yong","Utilization of novel systemic therapies for multiple myeloma: A retrospective study of front-line regimens using the SEER-Medicare data.","Cancer medicine","2020 Jan"
"100","Candice Yong","Patient and Caregiver Preferences for First-Line Treatments of Metastatic Non-Small Cell Lung Cancer: A Discrete Choice Experiment.","Patient preference and adherence","2022"
"101","Carol Koro","Assessment of independent effect of olanzapine and risperidone on risk of diabetes among patients with schizophrenia: population based nested case-control study.","BMJ (Clinical research ed.)","2002 Aug 3"
"102","Carol Koro","New National Cholesterol Education Program III guidelines for primary prevention lipid-lowering drug therapy: projected impact on the size, sex, and age distribution of the treatment-eligible population.","Circulation","2002 Jan 15"
"103","Carol Koro","An assessment of the independent effects of olanzapine and risperidone exposure on the risk of hyperlipidemia in schizophrenic patients.","Archives of general psychiatry","2002 Nov"
"104","Carol Koro","Major CHD risk factors predominate among African-American women who are eligible for lipid-lowering drug therapy under the new ATP III guidelines.","European journal of cardiovascular prevention and rehabilitation : official journal of the European Society of Cardiology, Working Groups on Epidemiology & Prevention and Cardiac Rehabilitation and Exercise Physiology","2004 Oct"
"105","Carol Koro","Ethnic disparities and trends in glycemic control among adults with type 2 diabetes in the U.S. from 1988 to 2002.","Diabetes care","2006 Aug"
"106","Carol Koro","Chronic kidney disease among US adults with type 2 diabetes and cardiovascular diseases: A national estimate of prevalence by KDIGO 2012 classification.","Diabetes & metabolic syndrome","2019 Jan-Feb"
"107","Carol Koro","SGLT2 Inhibitors and the Risk of Hospitalization for Fournier's Gangrene: A Nested Case-Control Study.","Diabetes therapy : research, treatment and education of diabetes and related disorders","2020 Mar"
"108","Caryn Gordon","Amphipathic α-helix mimetics based on a 1,2-diphenylacetylene scaffold.","Organic letters","2013 Jul 5"
"109","Charlotte McMillan","Pathology concordance levels for meningioma classification and grading in NRG Oncology RTOG Trial 0539.","Neuro-oncology","2016 Apr"
"110","Cheryl Fahlman","Employer-sponsored health insurance and prescription drug coverage for new retirees: dramatic declines in five years.","Health affairs (Project Hope)","2003 Jul-Dec"
"111","Cheryl Fahlman","Medicare cost differences between nursing home patients admitted with and without dementia.","The Gerontologist","2005 Aug"
"112","Cheryl Fahlman","The role of nursing home admission and dementia status on care for diabetes mellitus.","Journal of the American Geriatrics Society","2009 Sep"
"113","Chia Yun Hsu","Documentation of individual-level social determinants of health among adults diagnosed with cancer in the United States.","Scientific reports","2025 Aug 13"
"114","Chintal Shah","Disparities in prescription of opioids among prostate cancer patients of various racial groups.","Pain management","2019 May"
"115","Chintal Shah","Examining factors associated with adherence to hormonal therapy in breast cancer patients.","Research in social & administrative pharmacy : RSAP","2020 Apr"
"116","Chintal Shah","Reliability and Validity of the Short-Form 12 Item Version 2 (SF-12v2) Health-Related Quality of Life Survey and Disutilities Associated with Relevant Conditions in the U.S. Older Adult Population.","Journal of clinical medicine","2020 Feb 29"
"117","Chintal Shah","Quantifying heterogeneity of physical and mental health-related quality of life in chronic obstructive pulmonary disease patients in the United States.","Expert review of respiratory medicine","2020 Sep"
"118","Chintal Shah","Trends in Medicaid spending on inhalers in the United States, 2012-2018.","Journal of managed care & specialty pharmacy","2021 Dec"
"119","Chintal Shah","Association between lung function and future risks of diabetes, asthma, myocardial infarction, hypertension and all-cause mortality.","ERJ open research","2021 Jul"
"120","Chintal Shah","Economic burden of comorbidities among COPD Patients hospitalized for acute exacerbations: an analysis of a commercially insured population.","Expert review of pharmacoeconomics & outcomes research","2022 Jun"
"121","Chintal Shah","Healthcare costs associated with comorbid cardiovascular and renal conditions among persons with diabetes, 2008-2019.","Diabetology & metabolic syndrome","2022 Nov 28"
"122","Chintal Shah","Direct medical and indirect absenteeism costs among working adult ADHD patients in the United States.","Expert review of pharmacoeconomics & outcomes research","2022 Sep"
"123","Chintal Shah","Real-world changes in costs over time among patients in the United States with hereditary angioedema on long-term prophylaxis with lanadelumab.","Journal of medical economics","2023 Jan-Dec"
"124","Chintal Shah","Onychoscopy of Nail Lesions in Dermatological Disorders: A Cross-Sectional Observational Study.","Indian journal of dermatology","2023 Jan-Feb"
"125","Chintal Shah","Direct Medical Costs of COPD in the USA: An Analysis of the Medical Expenditure Panel Survey 2017-2018.","Applied health economics and health policy","2023 Nov"
"126","Chintal Shah","Comparative effectiveness of olodaterol/tiotropium and vilanterol/umeclidinium among COPD patients: a high-dimensional propensity score matched new user cohort study in a US medicare population.","Expert review of respiratory medicine","2024 Dec"
"127","Chintal Shah","Trends in direct health care costs among US adults with atherosclerotic cardiovascular disease with and without diabetes.","Cardiovascular diabetology","2024 Jul 8"
"128","Chintal Shah","Health Care Expenditure in United States Adults With Heart Failure With and Without Diabetes.","The American journal of cardiology","2024 Oct 1"
"129","Chintal Shah","Comparison of real-world healthcare resource utilization and costs among patients with hereditary angioedema on lanadelumab or berotralstat long-term prophylaxis.","Journal of comparative effectiveness research","2025 Apr"
"130","Chintal Shah","Characteristics of Patients with Hereditary Angioedema Who Reduced Lanadelumab Treatment Administration Frequency: A Retrospective Observational Study of US Claims Data.","Drugs - real world outcomes","2025 Mar"
"131","Confidence Gbarayor","Health disparities: a barrier to high-quality care.","American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists","2005 Sep 15"
"132","Confidence Gbarayor","Adjusting for risk and confounding in outcomes research.","Expert review of pharmacoeconomics & outcomes research","2006 Apr"
"133","Confidence Gbarayor","The case for cultural competence in health professions education.","American journal of pharmaceutical education","2006 Dec 15"
"134","Confidence Gbarayor","A perspective on African American participation in clinical trials.","Contemporary clinical trials","2007 Feb"
"135","Confidence Gbarayor","School-based obesity interventions: a literature review.","The Journal of school health","2008 Apr"
"136","Confidence Gbarayor","Burden of COPD, asthma, and concomitant COPD and asthma among adults: racial disparities in a medicaid population.","Chest","2009 Aug"
"137","Confidence Gbarayor","Predictors of compliance with antihypertensive therapy in a high-risk medicaid population.","Journal of the National Medical Association","2009 Jan"
"138","Confidence Gbarayor","Diabetes knowledge in a high risk urban population.","Ethnicity & disease","2011 Autumn"
"139","Cori Gray","Evolution of the Medicare Part D Medication Therapy Management Program from Inception in 2006 to the Present.","American health & drug benefits","2019 Sep"
"140","Danielle Lavallee","Health plans' strategies for managing outpatient specialty pharmaceuticals.","Health affairs (Project Hope)","2006 Sep-Oct"
"141","Danielle Lavallee","Continuous patient engagement in comparative effectiveness research.","JAMA","2012 Apr 18"
"142","Danielle Lavallee","Early assessment of the 10-step patient engagement framework for patient-centred outcomes research studies: the first three steps.","Family practice","2017 Jun 1"
"143","David Miller","Mycotoxins as harmful indoor air contaminants.","Applied microbiology and biotechnology","2005 Jan"
"144","David Miller","Evaluating within-population variability in behavior and demography for the adaptive potential of a dispersal-limited species to climate change.","Ecology and evolution","2016 Dec"
"145","David Miller","Mapping hydroxyl variability throughout the global remote troposphere via synthesis of airborne and satellite formaldehyde observations.","Proceedings of the National Academy of Sciences of the United States of America","2019 Jun 4"
"146","David Miller","Overexpression of enhance of Zeste homolog 2 (EZH2) in endometrial carcinoma: An NRG Oncology/Gynecologic Oncology Group Study.","Gynecologic oncology","2020 Feb"
"147","David Miller","Global airborne sampling reveals a previously unobserved dimethyl sulfide oxidation mechanism in the marine atmosphere.","Proceedings of the National Academy of Sciences of the United States of America","2020 Mar 3"
"148","David Miller","Diagnostic criteria for apathy in neurocognitive disorders.","Alzheimer's & dementia : the journal of the Alzheimer's Association","2021 Dec"
"149","David Miller","Risk of Pneumonitis and Outcomes After Mediastinal Proton Therapy for Relapsed/Refractory Lymphoma: A PTCOG and PCG Collaboration.","International journal of radiation oncology, biology, physics","2021 Jan 1"
"150","David Miller","Expanding access to HIV services during the COVID-19 pandemic-Nigeria, 2020.","AIDS research and therapy","2021 Sep 19"
"151","David Miller","Randomized Phase III Trial of Paclitaxel and Carboplatin Versus Paclitaxel and Ifosfamide in Patients With Carcinosarcoma of the Uterus or Ovary: An NRG Oncology Trial.","Journal of clinical oncology : official journal of the American Society of Clinical Oncology","2022 Mar 20"
"152","David Miller","Extreme hydroxyl amounts generated by thunderstorm-induced corona on grounded metal objects.","Proceedings of the National Academy of Sciences of the United States of America","2022 Sep 13"
"153","David Miller","An observation-based, reduced-form model for oxidation in the remote marine troposphere.","Proceedings of the National Academy of Sciences of the United States of America","2023 Aug 22"
"154","David Miller","Genome-wide association study meta-analysis provides insights into the etiology of heart failure and its subtypes.","Nature genetics","2025 Apr"
"155","David Miller","When the wild things are: Defining mammalian diel activity and plasticity.","Science advances","2025 Feb 28"
"156","Dinci Pennap","Hispanic Residential Isolation, ADHD Diagnosis and Stimulant Treatment among Medicaid-Insured Youth.","Ethnicity & disease","2017 Spring"
"157","Dinci Pennap","Patterns of Early Mental Health Diagnosis and Medication Treatment in a Medicaid-Insured Birth Cohort.","JAMA pediatrics","2018 Jun 1"
"158","Dinci Pennap","The Impact of a State Medicaid Peer-Review Authorization Program on Pediatric Use of Antipsychotic Medications.","Psychiatric services (Washington, D.C.)","2018 Mar 1"
"159","Dinci Pennap","Antidepressant Use in Medicaid-Insured Youth: Trends, Covariates, and Future Research Needs.","Frontiers in psychiatry","2020"
"160","Dinci Pennap","Continuity of Care and Mental Health Service Use Among Medicaid-enrolled Youths.","Medical care","2020 Mar"
"161","Divya Patil","Exploring Pharmacy Student Experiences with Student Debt and Perspectives on Future Burnout and Loan Relief.","American journal of pharmaceutical education","2023 Nov"
"162","Divya Patil","Consideration for Health Disparities in Value Assessment Frameworks.","ClinicoEconomics and outcomes research : CEOR","2024"
"163","Divya Patil","Costs of Illness for Huntington's Disease: A Systematic Review.","PharmacoEconomics - open","2025 Jan"
"164","Divya Patil","Use of Large Language Models to Extract Cost-Effectiveness Analysis Data: A Case Study.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2025 Jun 4"
"165","Dominique Seo","60 Years after Kefauver: Household income required to buy prescription drugs in the United States and abroad.","Research in social & administrative pharmacy : RSAP","2021 Aug"
"166","Dominique Seo","A review of caregiver costs included in cost-of-illness studies.","Expert review of pharmacoeconomics & outcomes research","2022 Oct"
"167","Dominique Seo","Consideration for Health Disparities in Value Assessment Frameworks.","ClinicoEconomics and outcomes research : CEOR","2024"
"168","Dominique Seo","Impact of the US Food and Drug Administration warning regarding increased risk of aortic aneurysms or aortic dissections on fluoroquinolone prescribing trends.","BMJ open quality","2024 Jul 24"
"169","Dominique Seo","Impact of manufacturer-initiated list price reduction on patient out-of-pocket costs for PCSK9 inhibitors.","Journal of managed care & specialty pharmacy","2024 Oct"
"170","Dominique Seo","Cost-Effectiveness Analysis Methods Used in Evaluations of Treatment for Cystic Fibrosis: A Scoping Review.","PharmacoEconomics","2025 Jul"
"171","Dongyi Du","Drug therapy persistence and stroke recurrence.","The American journal of managed care","2006 Jun"
"172","Dongyi Du","Burden of concomitant asthma and COPD in a Medicaid population.","Chest","2008 Jul"
"173","Dongyi Du","Predictors of fixed-dose combination antihypertensive drug therapy in a Medicaid population.","Journal of the American Society of Hypertension : JASH","2008 Nov-Dec"
"174","Dongyi Du","Burden of COPD, asthma, and concomitant COPD and asthma among adults: racial disparities in a medicaid population.","Chest","2009 Aug"
"175","Dongyi Du","Predictors of compliance with antihypertensive therapy in a high-risk medicaid population.","Journal of the National Medical Association","2009 Jan"
"176","Donnell Harris","The need to implement FAIR principles in biomolecular simulations.","Nature methods","2025 Apr"
"177","Donnell Harris","A large-scale genome-wide study of gene-sleep duration interactions for blood pressure in 811,405 individuals from diverse populations.","Molecular psychiatry","2025 Aug"
"178","Elisabeth Oehrlein","Patient-Focused Drug Development: A New Direction for Collaboration.","Medical care","2015 Jan"
"179","Elisabeth Oehrlein","FDAMA Section 114: Why the Renewed Interest?","Journal of managed care & specialty pharmacy","2015 May"
"180","Elisabeth Oehrlein","National Trends in ADHD Diagnosis and Treatment: Comparison of Youth and Adult Office-Based Visits.","Psychiatric services (Washington, D.C.)","2016 Sep 1"
"181","Elisabeth Oehrlein","Evaluation of Healthcare Interventions and Big Data: Review of Associated Data Issues.","PharmacoEconomics","2017 Aug"
"182","Elisabeth Oehrlein","Value to Whom? The Patient Voice in the Value Discussion.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2017 Feb"
"183","Elisabeth Oehrlein","Patient-Reported Outcome Measures in the Food and Drug Administration Pilot Compendium: Meeting Today's Standards for Patient Engagement in Development?","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2018 Aug"
"184","Elisabeth Oehrlein","Increasing uptake of comparative effectiveness and patient-centered outcomes research among stakeholders: insights from conference discussion.","Journal of comparative effectiveness research","2018 Feb"
"185","Elisabeth Oehrlein","PEER-REVIEWED JOURNAL EDITORS' VIEWS ON REAL-WORLD EVIDENCE.","International journal of technology assessment in health care","2018 Jan"
"186","Elisabeth Oehrlein","Multi-Method Patient-Engagement Approach: A Case Example from a PCORI-Funded Training Project.","The patient","2019 Apr"
"187","Elisabeth Oehrlein","Patient-Community Perspectives on Real-World Evidence: Enhancing Engagement, Understanding, and Trust.","The patient","2019 Aug"
"188","Elisabeth Oehrlein","Engaging Patients in Real-World Evidence: An Atrial Fibrillation Patient Advisory Board Case Example.","The patient","2021 Mar"
"189","Elisabeth Oehrlein","Improving Access and Quality of Health Care in the United States: Shared Goals Among Patient Advocates.","The patient","2021 Sep"
"190","Elisabeth Oehrlein","Patient-Centered Core Impact Sets: What They are and Why We Need Them.","The patient","2022 Nov"
